"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2020-04-14 00:00:00",13,17,30.285714285714285,29.571428571428573
"2020-04-15 00:00:00",18,12,30.428571428571427,28.571428571428573
"2020-04-16 00:00:00",17,16,31,28.428571428571427
"2020-04-17 00:00:00",20,10,31.285714285714285,28.571428571428573
"2020-04-18 00:00:00",18,9,30.428571428571427,29
"2020-04-19 00:00:00",16,14,30.285714285714285,29
"2020-04-20 00:00:00",22,9,30.142857142857142,29.571428571428573
"2020-04-21 00:00:00",15,15,30.142857142857142,29.142857142857142
"2020-04-22 00:00:00",17,12,30,30.571428571428573
"2020-04-23 00:00:00",19,12,29.714285714285715,31.714285714285715
"2020-04-24 00:00:00",23,10,30.142857142857142,31.714285714285715
"2020-04-25 00:00:00",17,11,30.285714285714285,32
"2020-04-26 00:00:00",20,9,30.142857142857142,33.142857142857146
"2020-04-27 00:00:00",23,12,30.714285714285715,33.285714285714285
"2020-04-28 00:00:00",14,13,30.285714285714285,32.714285714285715
"2020-04-29 00:00:00",16,10,29.857142857142858,31.428571428571427
"2020-04-30 00:00:00",20,8,29.428571428571427,31.285714285714285
"2020-05-01 00:00:00",21,9,29,30.857142857142858
"2020-05-02 00:00:00",14,12,28.714285714285715,30.142857142857142
"2020-05-03 00:00:00",18,12,28.857142857142858,29.142857142857142
"2020-05-04 00:00:00",24,9,28.571428571428573,28.285714285714285
"2020-05-05 00:00:00",15,14,28.857142857142858,28.857142857142858
"2020-05-06 00:00:00",18,12,29.428571428571427,29.571428571428573
"2020-05-07 00:00:00",18,12,29.714285714285715,30.285714285714285
"2020-05-08 00:00:00",21,7,29.428571428571427,30.857142857142858
